idx	question	speaker
185	What is the difference between DrBERT and ChuBERT?	1
187	How many authors are involved in the paper?	2
188	What is iterative transfer learning?	2
189	What is the goal of the dataset?	2
190	How can an attacker extract model parameters through an EaaS?	1
191	How many authors are involved in the paper?	1
193	How many annotators were used to create the initial dataset?	2
194	What are the affiliations of the authors of the paper?	1
196	What is the example that the governor is on the left?	1
197	What are the state-of-the-art models in dialogue systems?	2
198	Why do we need to evaluate the models' acceptability throughout the context window?	2
199	Did training in multilingual fashion cause performance drop compared to monolingual English model?	1
200	Do the annotators know about the entity in advance?	2
201	Which MT metrics were used for the evaluation?	2
202	Does the regress in generalization impact specific NER types?	2
203	Why does positionality in NLP matter?	2
204	Were the multilingual LLMs like BLOOM fine-tuned with adapters or full fine-tuning?	2
206	Which model do they use for transfer learning?	1
207	Which are the recent test sets used to assess the PaLM capabilities?	1
208	How many recommendations did the authors propose at last?	2
209	How much is the gain of the proposed method over the strongest baseline?	1
210	What is the name of the speaker?	2
211	Can the results and dataset in the paper be used as a benchmark?	1
212	How many smaller models do they experiment with in the paper?	1
213	Which model is used as the base model for investigating multi-model instruction tuning?	1
218	What are the affiliations of the authors of the paper?	1
220	What are the affiliations of the authors of the paper?	1
221	Which language pairs were analyzed in the paper?	1
223	What is the name of the speaker?	2
224	Which models were investigated during the experiments?	2
225	From the 62 diverse tasks used in MultiInstruct, how many tasks are used for training and testing purposes?	1
226	How many authors are involved in the paper?	2
228	Which datasets did the authors experiment on?	2
231	What is NACHOS?	1
232	What is the name of the speaker?	1
234	How much does the prompting strategy impact the results?	1
235	What are the affiliations of the authors of the paper?	1
236	What are the 5 expert-written instructions?	1
237	What do the authors propose to test the models on using information from multiple sources?	1
242	What are common evaluation methods for dialogue systems?	1
243	How many authors are involved in the paper?	2
244	In the example with Servin and Kea, what background knowledge is needed?	2
246	Is the code available, and if yes, where?	2
248	Are the annotators for NLPositionality balanced in regard to each demographic, i.e., country, gender, etc.?	1
249	How were sentences perturbed in the acceptable domain?	1
250	What does it mean to have a dimensional evaluation?	1
251	What are the affiliations of the authors of the paper?	2
255	In which cases, if any, is the form of the prompting important?	2
257	Which dialog models did the authors evaluate?	2
260	How many authors are involved in the paper?	2
261	What are the ideal qualities of a good planner?	2
262	How many authors are involved in the paper?	1
265	What is the name of the speaker?	1
266	What are the affiliations of the authors of the paper?	1
268	Which are the most common errors of PaLM?	1
270	What are the affiliations of the authors of the paper?	2
271	What does CFT stand for in this paper?	2
272	How many authors are involved in the paper?	1
274	What is the name of the speaker?	2
277	If the new method has a name, state that name, otherwise state that it does not have a name.	2
278	"What was the author's description of the ""marked words"" method?"	2
279	What are the affiliations of the authors of the paper?	2
283	What is the name of the first mentioned symmetrical dependency structure? Answer the one including the city name	1
286	What is the name of the speaker?	2
287	How many authors are involved in the paper?	1
288	What datasets can be used to test syntactic phenomena?	2
290	What are the abbreviations of the five methods for the first research question?	1
291	On which tasks is the model evaluated?	2
294	On which data is CamemBERT initially trained?	2
295	What is the name of the speaker?	2
298	Which findings led to the conclusion that the temporal drift is the main cause of performance loss?	2
302	Why is it necessary to permute the tokens for the output sequence?	2
303	Why did the authors recommend that model owners should increase transparency about bias mitigation methods?	1
304	What are minimal-pair unacceptable inputs?	1
307	What evaluation metrics did the authors use?	1
309	Which metric was used for measuring inter-annotator agreement?	1
310	Which domain was chosen to add completely unrelated sentences to the unacceptable and acceptable queries?	2
311	What are the affiliations of the authors of the paper?	1
312	How does MultiInstruct differ from other benchmarks?	1
313	How many authors are involved in the paper?	1
314	What is the definition of binary coordination?	1
315	How long, on average, were the prompts used in this study?	1
316	What are the implications of the findings on the smaller T5 model?	1
319	Which learning strategies are investigated in the work?	1
320	How big is the factor of overfitting due to test reuse specifically?	1
321	How was the quality of the simplification evaluated?	2
324	Do language models have different political biases?	2
326	What is cognitive dissonance?	1
328	Which language model is the most liberal?	2
330	Does cumulative training perform better than iterative when doing active learning?	1
331	What is the name of the speaker?	2
332	Where was the data taken from in the MuDa benchmark?	2
335	What is the name of the speaker?	2
336	What is cross-lingual transfer?	1
339	What are the affiliations of the authors of the paper?	1
341	Which latency measures do the authors use?	2
344	What are the drawbacks of tree-based methods?	1
346	What are the affiliations of the authors of the paper?	2
352	What does ABC-Eval stand for?	1
354	Until which year is the performance delta between CoNLL-2003 and CoNLL++ higher than 5 percentage points?	2
356	What are the affiliations of the authors of the paper?	1
357	What is the name of the speaker?	2
358	How many authors are involved in the paper?	1
359	To which dedicated simulST architecture is the approach compared?	2
